fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP
APFD_1_2,0.9068628,0.75490195,0.74509805,0.6645425,0.68611115,0.88725495,0.723039235,0.9460785,0.9411765,0.9607843
APFD_1_3,0.8510204,0.82857142,0.853061235,0.64829934,0.685442165,0.88725495,0.818367349999999,0.85918367,0.85510206,0.9285714
APFD_1_7,0.75,0.80789477,0.78157896,0.700701779999999,0.67964915,0.88725495,0.76052636,0.78157896,0.8552632,0.8921053
APFD_1_8,0.72368425,0.80263156,0.77105266,0.61508775,0.5991228,0.88725495,0.7131579,0.73421055,0.8447369,0.8710526
APFD_2_3,0.8186275,0.81372553,0.84313726,0.6633987,0.6908497,0.88725495,0.7941177,0.8235294,0.8382353,0.8480392
APFD_2_7,0.6875,0.8375,0.79749995,0.682,0.71933335,0.68249995,0.7575,0.8375,0.90749997,0.92249995
APFD_2_8,0.7325,0.7775,0.7575,0.6583333,0.6688333,0.7525,0.6975,0.7475,0.835,0.84749997
APFD_3_7,0.7166667,0.90000004,0.85,0.77000004,0.8087037,0.8277778,0.89444447,0.9055556,0.95000005,0.9444445
APFD_3_8,0.69111115,0.8155556,0.7355556,0.67229635,0.65792596,0.79333335,0.67777777,0.7266667,0.8466667,0.8511112
APFD_7_8,0.60460997,0.7606383,0.73581564,0.6216312,0.6333333,0.7996454,0.79255325,0.8989362,0.9379433,0.93439716
