fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP
assertj-PTL_1_2,0.81828445,0.07562077,0.06862302,0.2096012,0.18966516,0.300960729,0.089051918,0.31986457,0.013995485,0.012866817
assertj-PTL_1_5,0.71349484,0.17347175,0.16378316,0.19145713,0.173690885,0.300960729,0.096539795,0.23391004,0.01799308,0.012456748
assertj-PTL_1_6,0.860220065,0.49192226,0.4123156,0.234207445,0.233746975,0.300960729,0.13860923,0.554202775,0.060056193,0.040505737
assertj-PTL_1_7,0.83439493,0.49398443,0.41377684,0.23969489,0.25024377,0.300960729,0.178697805,0.4979948,0.051899035,0.026067469
assertj-PTL_1_8,0.6548714,0.49610758,0.39915073,0.227376735,0.242234815,0.300960729,0.17456947,0.57985373,0.06699693,0.041755132
assertj-PTL_2_5,0.9769068,0.40338984,0.6756356,0.47566384,0.5492514,0.4,0.45487288,0.15423729,0.010063559,0.003813559
assertj-PTL_2_6,0.86383164,0.47379726,0.5266323,0.35909938,0.29992125,0.447487115,0.27448453,0.54553264,0.041022336,0.02169244
assertj-PTL_2_7,0.86180794,0.47880623,0.45999134,0.297862605,0.329923585,0.43079585,0.28665658,0.5752595,0.052551903,0.026924741
assertj-PTL_2_8,0.7975673,0.475456135,0.45004344,0.263046615,0.281469015,0.3216768,0.21589922,0.57450044,0.054952215,0.026281495
assertj-PTL_5_6,0.9785962,0.47743925,0.461049,0.367373685,0.32922935,0.44996144,0.339085995,0.36656383,0.015715388,0.011762437
assertj-PTL_5_7,0.97839206,0.59840375,0.515476,0.38830057,0.37061514,0.45843878,0.38495231,0.380767,0.030951917,0.019077282
assertj-PTL_5_8,0.85128003,0.47820988,0.4508501,0.381695,0.36295356,0.31033808,0.31639632,0.5479773,0.042309947,0.021106116
assertj-PTL_6_7,0.6832536,0.006124402,0.005741627,0.15083253,0.1306858,0.00708134,0.045741625,0.23961723,0.004784689,0.001722488
assertj-PTL_6_8,0.8546713,0.057670128,0.07227989,0.2492503,0.21830066,0.08093041,0.066705115,0.25836216,0.008746636,0.004421377
assertj-PTL_7_8,0.85679793,0.030274889,0.046433877,0.20312035,0.24115899,0.10289747,0.120542348,0.039004456,0.007429421,0.00371471
joda-time-PTL_1_2,0.99660856,0.23909884,0.241884695,0.508616,0.519416175,0.284880323,0.08866279,0.24527616,0.018531977,0.00750969
joda-time-PTL_1_3,0.99661183,0.3320426,0.40125847,0.516360125,0.5420377,0.284880323,0.159365925,0.021055179,0.004114231,0.001694095
joda-time-PTL_1_4,0.99660856,0.292030035,0.30959303,0.59827197,0.53305876,0.284880323,0.110101745,0.418725775,0.03367248,0.018531976
joda-time-PTL_2_3,0.9966281,0.1466763,0.15534683,0.637544155,0.6380178,0.21700385,0.06864162,0.259874765,0.016016378,0.009995183
joda-time-PTL_2_4,0.9964337,0.2639087,0.2425107,0.53022665,0.49828815,0.39871612,0.263789815,0.40204468,0.003090823,0.001664289
joda-time-PTL_3_4,0.9966281,0.27288055,0.238921,0.5809008,0.49258992,0.238921,0.12042389,0.33586223,0.030828516,0.016618498
jopt-PTL_1_2,0.1353211,0.004587156,0.004587156,0.097553514,0.066055048,0.042125178,0.004587156,0.006880734,0.006880734,0.006880734
jopt-PTL_1_3,0.1262136,0.009708738,0.041262135,0.08802589,0.07006472,0.042125178,0.014563107,0.007281554,0.007281554,0.009708738
jopt-PTL_1_4,0.13349515,0.009708738,0.04368932,0.112702265,0.07427184,0.042125178,0.016990291,0.02184466,0.02184466,0.014563107
jopt-PTL_2_3,0.15162455,0.010830325,0.010830325,0.0311071,0.039530687,0.019855596,0.010830325,0.003610108,0.003610108,0.001805054
jopt-PTL_2_4,0.18411553,0.010830325,0.009025271,0.06498195,0.059145607,0.08844765,0.02166065,0.003610108,0.003610108,0.003610108
jopt-PTL_3_4,0.24849397,0.039156627,0.02560241,0.06752008,0.07876506,0.018072288,0.02560241,0.030120483,0.015060241,0.006024096
la4j-PTL_1_2,0.189300415,0.62139916,0.55144036,0.665706425,0.7431413,0.387499747,0.21399178,0.2798354,0.13168724,0.06584362
la4j-PTL_1_3,0.26229507,0.13661203,0.13114753,0.644262315,0.6564663,0.387499747,0.23497267,0.26229507,0.13661203,0.09289618
la4j-PTL_1_4,0.26775956,0.28961748,0.26229507,0.752003635,0.69981785,0.387499747,0.24043716,0.32240438,0.16393442,0.09289618
la4j-PTL_1_5,0.37288135,0.26553673,0.23728813,0.58841805,0.59698685,0.387499747,0.21468927,0.324858765,0.14971751,0.084745765
la4j-PTL_1_6,0.35465115,0.622093,0.55813956,0.4358527,0.506007765,0.387499747,0.27325583,0.30813953,0.12790698,0.06395349
la4j-PTL_1_7,0.209302325,0.75,0.68604654,0.56511628,0.5735465,0.387499747,0.633720925,0.63372093,0.25581396,0.13372093
la4j-PTL_1_8,0.19186047,0.9244186,0.9011628,0.74379843,0.72664728,0.387499747,0.88372093,0.6744186,0.29069766,0.15116279
la4j-PTL_1_9,0.19186047,0.9302326,0.90697676,0.74835272,0.7635659,0.387499747,0.9244186,0.81395346,0.3255814,0.1627907
la4j-PTL_2_3,0.2769953,0.04225352,0.04225352,0.59765255,0.5629108,0.065727696,0.032863848,0.13145539,0.032863848,0.02347418
la4j-PTL_2_4,0.9859155,0.58215964,0.6056338,0.70109546,0.657042235,0.42723006,0.27934273,0.17370892,0.051643193,0.04694836
la4j-PTL_2_5,0.39130434,0.572463765,0.596618365,0.416344615,0.43961352,0.427536235,0.28985506,0.1884058,0.072463766,0.048309178
la4j-PTL_2_6,0.37623763,0.16336633,0.14851485,0.13630363,0.11171617,0.10891089,0.11881188,0.02970297,0.014851485,0.00990099
la4j-PTL_2_7,0.37623763,0.85148513,0.83168316,0.48234323,0.55503303,0.73019803,0.7178218,0.6980198,0.21782178,0.096534655
la4j-PTL_2_8,0.6138614,0.96039605,0.9405941,0.76980197,0.771287115,0.8712871,0.93564355,0.8861386,0.3019802,0.12376238
la4j-PTL_2_9,0.6138614,0.9653465,0.95049506,0.78943893,0.75033003,0.9108911,0.95049506,0.8861386,0.28217822,0.1509901
la4j-PTL_3_4,0.95467424,0.66855526,0.6402266,0.78744096,0.7893295,0.6515581,0.7733711,0.07648725,0.02549575,0.02549575
la4j-PTL_3_5,0.6282421,0.04610951,0.0518732,0.13996157,0.118731985,0.043227665,0.028818443,0.031700287,0.02017291,0.011527377
la4j-PTL_3_6,0.6301775,0.03254438,0.03846154,0.102810645,0.12928994,0.026627218,0.01775148,0.03698225,0.020710059,0.00591716
la4j-PTL_3_7,0.2662722,0.03846154,0.03846154,0.15897436,0.14260355,0.03846154,0.02366864,0.05029586,0.02366864,0.01775148
la4j-PTL_3_8,0.52071005,0.964497,0.9585799,0.68786985,0.692850115,0.9053255,0.87573963,0.7692308,0.28402367,0.14201184
la4j-PTL_3_9,0.53869045,0.96428573,0.9583333,0.7501984,0.7146825,0.9255952,0.9047619,0.76488096,0.23809524,0.14880952
la4j-PTL_4_5,0.24935733,0.043701798,0.048843186,0.19777206,0.21456726,0.043701798,0.028277636,0.015424165,0.012853471,0.010282776
la4j-PTL_4_6,0.24210526,0.031578947,0.036842104,0.06631579,0.06350877,0.028947368,0.018421052,0.013157895,0.010526316,0.005263158
la4j-PTL_4_7,0.24210526,0.031578947,0.036842104,0.06710526,0.070701756,0.028947368,0.018421052,0.005263158,0.005263158,0.005263158
la4j-PTL_4_8,0.6394737,0.44210526,0.42631578,0.565307025,0.48657894,0.48947367,0.36842105,0.76842105,0.28421053,0.13157895
la4j-PTL_4_9,0.64285713,0.44179896,0.4074074,0.571164,0.5031746,0.32539684,0.32804233,0.6507937,0.2037037,0.09259259
la4j-PTL_5_6,0.13122173,0.022624435,0.03846154,0.5720965,0.57828057,0.022624435,0.013574661,0.061085973,0.009049774,0.004524887
la4j-PTL_5_7,0.04328018,0.03644647,0.03644647,0.244950645,0.22148823,0.07061503,0.013667426,0.5125285,0.14123006,0.03644647
la4j-PTL_5_8,0.5307517,0.54897493,0.54214126,0.5340926,0.4969628,0.55580866,0.17767654,0.71526194,0.24373576,0.09339408
la4j-PTL_5_9,0.5331808,0.5491991,0.5263158,0.58749044,0.5441648,0.395881,0.34553775,0.6590389,0.21510297,0.045766592
la4j-PTL_6_7,0.15482695,0.09471767,0.09471767,0.26132363,0.22762598,0.1420765,0.03460838,0.10746812,0.04007286,0.030965392
la4j-PTL_6_8,0.5409836,0.5409836,0.5136612,0.4866424,0.5124469,0.56284153,0.23679417,0.7413479,0.22586522,0.07285974
la4j-PTL_6_9,0.5429616,0.54113346,0.5009141,0.5291895,0.48933578,0.40036562,0.34277881,0.7166362,0.21206582,0.053016454
la4j-PTL_7_8,0.56626505,0.57314974,0.5697074,0.5598967,0.55220884,0.6247848,0.4526678,0.5645439,0.08089501,0.04130809
la4j-PTL_7_9,0.5682211,0.5734024,0.5630397,0.59378237,0.51019,0.5267703,0.441278055,0.46804836,0.08462867,0.044905007
la4j-PTL_8_9,0.56301147,0.5450082,0.5286416,0.60949266,0.4785052,0.49918166,0.28150573,0.06546645,0.014729951,0.019639935
scribe-PTL_1_2,0.29411766,0.8039216,0.8039216,0.74444443,0.71568626,0.411272777,0.79411767,0.09803922,0.15686275,0.078431375
scribe-PTL_1_3,0.6122449,0.4489796,0.42857143,0.8,0.69659865,0.411272777,0.59183675,0.3265306,0.40816328,0.1632653
scribe-PTL_1_7,0.39473686,0.63157895,0.63157895,0.72061405,0.758333355,0.411272777,0.7105263,0.57894737,0.34210527,0.2631579
scribe-PTL_1_8,0.7368421,0.5263158,0.5263158,0.7631579,0.82719296,0.411272777,0.7631579,0.5263158,0.31578946,0.28947368
scribe-PTL_2_3,0.50980395,0.4509804,0.43137255,0.65424836,0.6228758,0.21568628,0.5882353,0.3529412,0.3529412,0.49019608
scribe-PTL_2_7,0.6,0.55,0.55,0.67,0.58416665,0.65,0.675,0.475,0.275,0.225
scribe-PTL_2_8,0.6,0.55,0.55,0.72583336,0.72,0.475,0.775,0.525,0.4125,0.425
scribe-PTL_3_7,0.44444445,0.31111112,0.26666668,0.43703705,0.43925926,0.26666668,0.15555556,0.26666668,0.13333334,0.13333334
scribe-PTL_3_8,0.7111111,0.31111112,0.46666667,0.70074075,0.74296296,0.46666667,0.82222223,0.5555556,0.33333334,0.35555556
scribe-PTL_7_8,0.68085104,0.39361703,0.39361703,0.73758864,0.6670213,0.39361703,0.43617022,0.17021276,0.12765957,0.11702128
