fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP
TTL_1_2,0.37500012,0.8035715,0.8035715,0.8426192,0.7954763,0.15454543,0.92321465,0.31071424,0.3339285,0.3464286
TTL_1_3,0.7386365,0.42424244,0.42045456,0.85075766,0.774495,0.15454543,0.553030375,0.65530294,0.651515035,0.3636364
TTL_1_7,0.41463414,0.60569103,0.60569103,0.81937665,0.83075875,0.15454543,0.74593488,0.7195121,0.65447134,0.39430884
TTL_1_8,0.7764227,0.43495932,0.43495932,0.8365853,0.8876693,0.15454543,0.74999992,0.41869912,0.378048725,0.6626015
TTL_2_3,0.73263913,0.45833334,0.44444448,0.73923624,0.72546303,0.38888884,0.640625,0.38888898,0.40972233,0.45486122
TTL_2_7,0.7649255,0.4776119,0.4776119,0.747015,0.6798508,0.49253723,0.686567085,0.4104478,0.38059705,0.39552245
TTL_2_8,0.7649255,0.4776119,0.4776119,0.783209,0.7793533,0.4552238,0.679104549999999,0.45522392,0.43656722,0.4514926
TTL_3_7,0.25909087,0.49090895,0.09999997,0.4496969,0.44909084,0.15454543,0.07727273,0.12272726,0.059090894,0.08636361
TTL_3_8,0.7045453,0.49090895,0.59999985,0.806212,0.8295454,0.57272714,0.854545325,0.61363626,0.54999983,0.5545453
TTL_7_8,0.64406794,0.43502817,0.43502814,0.80009437,0.74435043,0.4406778,0.48870078,0.3870057,0.3728814,0.37853098
