fileName,FPDT-TCP-C2FP,FPDT-TCP-ITF,FPDT-TCP-QS,FPDT-TCP
TTL_1_2,0.39285734,0.3464285,0.3464286,0.3464286
TTL_1_3,0.3825758,0.3636363,0.39393944,0.3636364
TTL_1_7,0.3821137,0.6626014,0.410569,0.39430884
TTL_1_8,0.85772336,0.6585364,0.67886156,0.6626015
TTL_2_3,0.3923613,0.45486122,0.45486122,0.45486122
TTL_2_7,0.55970156,0.39552245,0.4104478,0.39552245
TTL_2_8,0.6082091,0.4514926,0.42910454,0.4514926
TTL_3_7,0.39999983,0.08636362,0.08636361,0.08636361
TTL_3_8,0.8363634,0.5545453,0.54999983,0.5545453
TTL_7_8,0.62994385,0.3841807,0.37853098,0.37853098
median,0.479850695,0.423507525,0.4105084,0.394915645
