fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.56289,0.97835,0.97982,0.93674,0.94154,0.99785,0.9756,0.92851,0.99625,0.996704325,0.996704325,0.99677205,0.9969075,0.996591435
APFD_1_5,0.64494,0.92888,0.93302,0.92951,0.93471,0.99785,0.96475,0.91641,0.99132,0.99375432,0.99380622,0.99377162,0.9937082,0.99332182
APFD_1_6,0.53547,0.84746,0.86205,0.91605,0.91513,0.99785,0.9479,0.8395,0.97757,0.98427182,0.9843889,0.98461135,0.9846406,0.984664
APFD_1_7,0.5783,0.86148,0.86879,0.91696,0.91034,0.99785,0.93924,0.84652,0.98187,0.98649445,0.98654755,0.986653725,0.98702525,0.9866006
APFD_1_8,0.62031,0.83195,0.86141,0.91467,0.90869,0.99785,0.93791,0.76844,0.97484,0.982661,0.98278483,0.9829913,0.983864125,0.984619
APFD_2_5,0.57881,0.85434,0.81227,0.85094,0.84004,0.85362,0.8854,0.96064,0.99612,0.9979873,0.9979873,0.998072,0.9980932,0.9979873
APFD_2_6,0.49549,0.83662,0.83031,0.87399,0.87651,0.85756,0.90301,0.83462,0.98101,0.98928267,0.98928267,0.9893471,0.9893471,0.98908935
APFD_2_7,0.52256,0.8186,0.83843,0.88428,0.87612,0.85149,0.89877,0.76298,0.97712,0.9883867,0.9883867,0.9884299,0.988019035,0.9875216
APFD_2_8,0.59809,0.84314,0.84961,0.90532,0.89646,0.90534,0.92515,0.79288,0.97926,0.98888466,0.98888466,0.98903126,0.9891616,0.98846655
APFD_5_6,0.36155,0.78438,0.79362,0.86772,0.88217,0.79645,0.8915,0.80326,0.9898,0.9933668,0.9933668,0.993443925,0.9938103,0.99396455
APFD_5_7,0.4051,0.77744,0.78844,0.86192,0.86418,0.79982,0.88421,0.79303,0.98332,0.991512575,0.991512575,0.9916099,0.991629375,0.99145415
APFD_5_8,0.55748,0.81289,0.82703,0.87397,0.87832,0.88837,0.91782,0.80305,0.98301,0.98987688,0.98987688,0.98999411,0.99063903,0.99042407
APFD_6_7,0.65531,0.99813,0.99823,0.94802,0.95426,0.99785,0.98823,0.93292,0.9978,0.9989473,0.9989473,0.9989473,0.9990909,0.99923444
APFD_6_8,0.60006,0.97972,0.97535,0.91391,0.92019,0.97679,0.97891,0.89658,0.99629,0.9977893,0.9977893,0.9977701,0.9980969,0.9984814
APFD_7_8,0.6176,0.97669,0.97725,0.91339,0.89661,0.94855,0.95521,0.98301,0.99656,0.99780214,0.99780214,0.99786407,0.9979105,0.99854505
median,0.5783,0.84746,0.86141,0.91339,0.89661,0.94855,0.93791,0.8395,0.98332,0.991512575,0.991512575,0.9916099,0.991629375,0.99145415
