fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.93827,0.87078,0.8856,0.74416,0.70016,0.99886,0.93632,0.93292,0.96183,0.97232508,0.97232508,0.97489715,0.975514415,0.97736627
APFD_1_3,0.91421,0.95246,0.95355,0.75299,0.75211,0.99886,0.93169,0.93005,0.95683,0.96648449,0.96666664,0.96885246,0.9699453,0.97172129
APFD_1_4,0.89727,0.91366,0.91803,0.68459,0.71922,0.99886,0.92432,0.92077,0.95246,0.963934435,0.9644809,0.96666664,0.96775955,0.96885246
APFD_1_5,0.82712,0.86977,0.88192,0.78828,0.77955,0.99886,0.93559,0.91455,0.9565,0.9717514,0.9722222,0.9717514,0.97118645,0.97288135
APFD_1_6,0.8375,0.7936,0.81541,0.84021,0.83164,0.99886,0.90039,0.89462,0.95567,0.97214147,0.9732558,0.9726744,0.9732558,0.9738372
APFD_1_7,0.86531,0.68072,0.70378,0.76238,0.75761,0.99886,0.7718,0.67708,0.88421,0.9486434,0.9481589,0.94888565,0.9491279,0.9491279
APFD_1_8,0.87733,0.53503,0.56686,0.67176,0.68275,0.99886,0.64012,0.5936,0.83895,0.92151165,0.922093025,0.922093025,0.9226744,0.925
APFD_1_9,0.88081,0.51105,0.53953,0.65665,0.63998,0.99886,0.56919,0.54419,0.81483,0.9110465,0.91220933,0.9133721,0.91453487,0.91686046
APFD_2_3,0.9,0.98592,0.98826,0.75078,0.76487,0.98239,0.98826,0.95728,0.98826,0.9882629,0.9882629,0.984507,0.985446,0.9835681
APFD_2_4,0.79484,0.87183,0.86854,0.66722,0.67011,0.90516,0.93005,0.9108,0.97136,0.97183096,0.97183096,0.9706573,0.97230047,0.97652584
APFD_2_5,0.74235,0.81099,0.80857,0.86954,0.85667,0.87379,0.91063,0.9372,0.97283,0.98276976,0.98276976,0.983252855,0.984219045,0.98470214
APFD_2_6,0.76485,0.90594,0.91337,0.9356,0.93795,0.94802,0.94802,0.97607,0.99092,0.9925743,0.9925743,0.99504954,0.99504954,0.99504954
APFD_2_7,0.77723,0.64109,0.63614,0.80877,0.79154,0.72855,0.73432,0.73515,0.9177,0.95627064,0.95627064,0.95627064,0.95957094,0.9661716
APFD_2_8,0.77772,0.53069,0.53812,0.66868,0.66205,0.56436,0.62921,0.53366,0.84505,0.9311881,0.9311881,0.930198,0.930198,0.93168318
APFD_2_9,0.77525,0.44059,0.45198,0.63794,0.64215,0.48762,0.57772,0.46485,0.82871,0.90841585,0.90841585,0.90247524,0.9054456,0.914851515
APFD_3_4,0.68839,0.67139,0.67635,0.56612,0.54032,0.73442,0.71848,0.94618,0.983,0.98371106,0.98371106,0.98371106,0.9851275,0.98583573
APFD_3_5,0.74207,0.97695,0.97406,0.94037,0.94472,0.97839,0.98559,0.98415,0.98991,0.99567723,0.99567723,0.99567723,0.99567723,0.9949568
APFD_3_6,0.67406,0.97584,0.97387,0.94211,0.93647,0.98274,0.98841,0.97485,0.98866,0.9970414,0.9970414,0.9970414,0.9970414,0.99519229
APFD_3_7,0.82692,0.96302,0.96302,0.90243,0.91218,0.96302,0.98077,0.95118,0.98077,0.9935897,0.9935897,0.9935897,0.9935897,0.99556214
APFD_3_8,0.83639,0.60503,0.60858,0.74424,0.73014,0.65947,0.73136,0.58491,0.85355,0.9310651,0.9310651,0.9316568,0.9304733,0.930177465
APFD_3_9,0.84435,0.51399,0.51458,0.67875,0.68915,0.56339,0.63095,0.51637,0.84792,0.9068452,0.9068452,0.9110119,0.91160715,0.92172617
APFD_4_5,0.84859,0.98072,0.97969,0.93961,0.93356,0.9865,0.98792,0.99486,0.9955,0.996401075,0.996401075,0.996401075,0.996401075,0.996401075
APFD_4_6,0.84671,0.98158,0.97895,0.96158,0.9614,0.98553,0.9902,0.99342,0.99474,0.99791665,0.99791665,0.99791665,0.99791665,0.99473685
APFD_4_7,0.85,0.97105,0.96974,0.9393,0.93781,0.97368,0.98553,0.99605,0.99605,0.9973684,0.9973684,0.9973684,0.9960526,0.99473685
