fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.90686,0.7549,0.7451,0.66454,0.68611,0.88725,0.72304,0.94608,0.94118,0.9607843,0.9607843,0.9607843,0.9607843,0.9607843
APFD_1_3,0.85102,0.82857,0.85306,0.6483,0.68544,0.88725,0.81837,0.85918,0.8551,0.9285714,0.9285714,0.9285714,0.9285714,0.93265307
APFD_1_7,0.75,0.80789,0.78158,0.7007,0.67965,0.88725,0.76053,0.78158,0.85526,0.8921053,0.8921053,0.8921053,0.8921053,0.8921053
APFD_1_8,0.72368,0.80263,0.77105,0.61509,0.59912,0.88725,0.71316,0.73421,0.84474,0.8710526,0.8710526,0.8710526,0.8710526,0.8710526
APFD_2_3,0.81863,0.81373,0.84314,0.6634,0.69085,0.88725,0.79412,0.82353,0.83824,0.8382353,0.8382353,0.8382353,0.8480392,0.8480392
APFD_2_7,0.6875,0.8375,0.7975,0.682,0.71933,0.6825,0.7575,0.8375,0.9075,0.92249995,0.92249995,0.92249995,0.92249995,0.92249995
APFD_2_8,0.7325,0.7775,0.7575,0.65833,0.66883,0.7525,0.6975,0.7475,0.835,0.84749997,0.84749997,0.84749997,0.84749997,0.8525
APFD_3_7,0.71667,0.9,0.85,0.77,0.8087,0.82778,0.89444,0.90556,0.95,0.9444445,0.9444445,0.9444445,0.9444445,0.9444445
APFD_3_8,0.69111,0.81556,0.73556,0.6723,0.65793,0.79333,0.67778,0.72667,0.84667,0.8511112,0.8511112,0.8511112,0.8511112,0.8511112
APFD_7_8,0.60461,0.76064,0.73582,0.62163,0.63333,0.79965,0.79255,0.89894,0.93794,0.93439716,0.93439716,0.93439716,0.93439716,0.9379433
median,0.72809,0.81081,0.776315,0.66397,0.682545,0.857515,0.759015,0.830515,0.85518,0.907302625,0.907302625,0.907302625,0.907302625,0.907302625
