fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.9723250800000001,0.9723250800000001,0.97489715,0.975514415,0.97736627
APFD_1_3,0.96648449,0.96666664,0.96885246,0.9699453,0.97172129
APFD_1_4,0.963934435,0.9644809,0.96666664,0.96775955,0.96885246
APFD_1_5,0.9717514,0.9722222,0.9717514,0.97118645,0.97288135
APFD_1_6,0.97214147,0.9732558,0.9726744,0.9732558,0.9738372
APFD_1_7,0.9486434,0.9481589,0.94888565,0.9491279,0.9491279
APFD_1_8,0.92151165,0.922093025,0.922093025,0.9226744,0.925
APFD_1_9,0.9110465,0.91220933,0.9133721,0.91453487,0.91686046
APFD_2_3,0.9882629,0.9882629,0.984507,0.985446,0.9835681
APFD_2_4,0.97183096,0.97183096,0.9706573,0.97230047,0.97652584
APFD_2_5,0.98276976,0.98276976,0.9832528549999999,0.984219045,0.98470214
APFD_2_6,0.9925743,0.9925743,0.99504954,0.99504954,0.99504954
APFD_2_7,0.95627064,0.95627064,0.95627064,0.95957094,0.9661716
APFD_2_8,0.9311881,0.9311881,0.930198,0.930198,0.93168318
APFD_2_9,0.90841585,0.90841585,0.90247524,0.9054456,0.9148515150000001
APFD_3_4,0.98371106,0.98371106,0.98371106,0.9851275,0.98583573
APFD_3_5,0.99567723,0.99567723,0.99567723,0.99567723,0.9949568
APFD_3_6,0.9970414,0.9970414,0.9970414,0.9970414,0.99519229
APFD_3_7,0.9935897,0.9935897,0.9935897,0.9935897,0.99556214
APFD_3_8,0.9310651,0.9310651,0.9316568,0.9304733,0.930177465
APFD_3_9,0.9068452,0.9068452,0.9110119,0.91160715,0.92172617
APFD_4_5,0.9964010750000001,0.9964010750000001,0.9964010750000001,0.9964010750000001,0.9964010750000001
APFD_4_6,0.9979166500000001,0.9979166500000001,0.9979166500000001,0.9979166500000001,0.99473685
APFD_4_7,0.9973684,0.9973684,0.9973684,0.9960526,0.99473685
APFD_4_8,0.9492105,0.9492105,0.9492105,0.947894695,0.9478947
APFD_4_9,0.9383598,0.9383598,0.9431217,0.9436508,0.9494709
APFD_5_6,0.995286575,0.995286575,0.997171975,0.9977376,0.9977376
APFD_5_7,0.97532266,0.97532266,0.9857631,0.986902,0.9912869849999999
APFD_5_8,0.9751708,0.9751708,0.9756264,0.97699314,0.97608197
APFD_5_9,0.9677346,0.9677346,0.9768879,0.9860412,0.9887872
APFD_6_7,0.9874317,0.9874317,0.9892532,0.991439,0.9939891
APFD_6_8,0.98142075,0.98142075,0.98287795,0.98324225,0.9834244
APFD_6_9,0.957404,0.957404,0.9647167,0.9756856,0.9822669
APFD_7_8,0.9819277,0.9819277,0.9839931,0.9836489,0.9836489
APFD_7_9,0.96718477,0.96718477,0.96943,0.9701209,0.9690846
APFD_8_9,0.987725,0.987725,0.98608834,0.9811784,0.982815
