fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
PTL_1_2,0.078431375,0.078431375,0.078431375,0.078431375,0.078431375
PTL_1_3,0.1632653,0.1632653,0.1632653,0.1632653,0.1632653
PTL_1_7,0.2631579,0.2631579,0.2631579,0.2631579,0.2631579
PTL_1_8,0.2631579,0.2631579,0.2631579,0.28947368,0.28947368
PTL_2_3,0.49019608,0.49019608,0.49019608,0.49019608,0.49019608
PTL_2_7,0.225,0.225,0.225,0.225,0.225
PTL_2_8,0.425,0.425,0.425,0.425,0.425
PTL_3_7,0.13333334,0.13333334,0.13333334,0.13333334,0.13333334
PTL_3_8,0.35555556,0.35555556,0.35555556,0.35555556,0.35555556
PTL_7_8,0.11702128,0.11702128,0.11702128,0.11702128,0.10638298
