fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.22293054,0.22293054,0.2208074,0.19957593,0.21443793
TTL_1_3,0.23923516,0.23923516,0.23923516,0.22248872,0.2224887
TTL_1_4,0.2464122,0.24641221,0.2464122,0.2416275,0.24162751
TTL_1_5,0.20759553,0.20759553,0.20759553,0.20253223,0.20000058
TTL_1_6,0.05740193,0.05740193,0.05740193,0.051359627,0.05135962
TTL_1_7,0.37462315,0.39275002,0.37462315,0.37462312,0.371602
TTL_1_8,0.5166174,0.5166174,0.5166174,0.5166174,0.5135962199999999
TTL_1_9,0.51963854,0.51963854,0.51963854,0.51963854,0.5166174
TTL_2_3,0.07142875,0.07142875,0.07142875,0.051948186,0.051948186
TTL_2_4,0.18181871,0.18181871,0.18181871,0.18181871,0.058441725
TTL_2_5,0.12327218300000001,0.12327218300000001,0.120968033,0.118663873,0.118663873
TTL_2_6,0.005464496,0.005464496,0.0054644956,0.0054644956,0.0054644956
TTL_2_7,0.232240895,0.232240895,0.234973125,0.232240885,0.11202209
TTL_2_8,0.51912695,0.51912695,0.52185917,0.5191269,0.5218591
TTL_2_9,0.53005594,0.53005594,0.54098487,0.53825265,0.5273236
TTL_3_4,0.060000144,0.060000144,0.060000144,0.060000144,0.060000144
TTL_3_5,0.02112683,0.02112683,0.0035211383,0.0035211383,0.0035211383
TTL_3_6,0.0019685108499999998,0.0019685108499999998,0.0019685108499999998,0.0019685108499999998,0.0039370214
TTL_3_7,0.005905525,0.005905525,0.005905525,0.005905525,0.0039370167
TTL_3_8,0.4094503,0.4094503,0.4094503,0.41338733,0.41929287
TTL_3_9,0.40711606,0.40711606,0.40711606,0.41106862,0.41699752
TTL_4_5,0.0064412453,0.0064412453,0.0064412453,0.0064412453,0.0064412453
TTL_4_6,0.003584242,0.003584242,0.003584242,0.003584242,0.008960606
TTL_4_7,0.0035842385,0.0035842385,0.0035842385,0.0053763576,0.008960596
TTL_4_8,0.32437393,0.32437393,0.32437393,0.3207897,0.30197244
TTL_4_9,0.106115535,0.106115535,0.08812986,0.12050412,0.31474954
TTL_5_6,0.013957307,0.013957307,0.011494253,0.011494253,0.011494253
TTL_5_7,0.034381237,0.034381237,0.047151417,0.045186765,0.038310517
TTL_5_8,0.18074712,0.18074712,0.18762337,0.17780016,0.16994159
TTL_5_9,0.06981338,0.06981338,0.055064082,0.048181076,0.03539834
TTL_6_7,0.10550065,0.10550065,0.105500676,0.103239946,0.027128732
TTL_6_8,0.21476905,0.21476905,0.2132619,0.21326186,0.20421891
TTL_6_9,0.13056546,0.13056546,0.13056546,0.10943349,0.100376904
TTL_7_8,0.073643155,0.073643155,0.073643155,0.07364316,0.07364316
TTL_7_9,0.0718444,0.0718444,0.07281527,0.0733007,0.07427158
TTL_8_9,0.0009523817,0.0009523817,0.0011904772,0.001666668,0.0038095268
