fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.237792145,0.7473473,0.71337724,0.66783495,0.7429587,0.001968508,0.30997923,0.3609348,0.246285115,0.19957593,0.22293054,0.22293054,0.2208074,0.19957593,0.21443793
TTL_1_3,0.3253589,0.3133976,0.3110052,0.6254789,0.63536725,0.001968508,0.30861259,0.3253591,0.25837358,0.22248872,0.23923516,0.23923516,0.23923516,0.22248872,0.2224887
TTL_1_4,0.33971295,0.39952224,0.38038343,0.72535926,0.711204635,0.001968508,0.328947695,0.38516775,0.263158325,0.2416275,0.2464122,0.24641221,0.2464122,0.2416275,0.24162751
TTL_1_5,0.38987342,0.36455765,0.34430444,0.598059565,0.598776725,0.001968508,0.27848108,0.3645573,0.236709275,0.20253223,0.20759553,0.20759553,0.20759553,0.20253223,0.20000058
TTL_1_6,0.27190325,0.7009074,0.6646532,0.444612755,0.5225584,0.001968508,0.2462239,0.24169205,0.093655735,0.051359627,0.05740193,0.05740193,0.05740193,0.051359627,0.05135962
TTL_1_7,0.18277938,0.88821834,0.737161,0.55332365,0.56787558,0.001968508,0.50453202,0.43504575,0.184290285,0.37462312,0.37462315,0.39275002,0.37462315,0.37462312,0.371602
TTL_1_8,0.15709963,0.96978885,0.95770437,0.72759354,0.717623735,0.001968508,0.8806654,0.85196483,0.60423062,0.5166174,0.5166174,0.5166174,0.5166174,0.5166174,0.51359622
TTL_1_9,0.15709963,0.97281,0.9607255,0.75251808,0.74315247,0.001968508,0.94864085,0.9033239,0.6117835,0.51963854,0.51963854,0.51963854,0.51963854,0.51963854,0.5166174
TTL_2_3,0.27056295,0.1948055,0.1948055,0.5828288,0.55685484,0.2251085,0.15151535,0.22510874,0.06709973,0.051948186,0.07142875,0.07142875,0.07142875,0.051948186,0.051948186
TTL_2_4,0.7965366,0.73376733,0.7445897,0.67359364,0.65750415,0.4350656,0.361472565,0.28355038,0.132034895,0.18181871,0.18181871,0.18181871,0.18181871,0.18181871,0.058441725
TTL_2_5,0.40092194,0.716591,0.72811157,0.432373805,0.419432055,0.40322664,0.35599144,0.27419412,0.17050727,0.118663873,0.123272183,0.123272183,0.120968033,0.118663873,0.118663873
TTL_2_6,0.2896174,0.1693991,0.15300563,0.13224061,0.13715865,0.13661218,0.12021871,0.068306185,0.03278696,0.005464496,0.005464496,0.005464496,0.005464496,0.005464496,0.005464496
TTL_2_7,0.2896174,0.9316945,0.92623013,0.48670352,0.54899865,0.74453625,0.63388085,0.8032797,0.195355575,0.232240885,0.232240895,0.232240895,0.234973125,0.232240885,0.11202209
TTL_2_8,0.4071038,0.9890711,0.97814226,0.72422624,0.77727735,0.806011,0.961749,0.9289621,0.484973895,0.5191269,0.51912695,0.51912695,0.52185917,0.5191269,0.5218591
TTL_2_9,0.4071038,0.9918033,0.98360664,0.79904425,0.7569222,0.8415301,0.975409935,0.9316943,0.48360747,0.53825265,0.53005594,0.53005594,0.54098487,0.53825265,0.5273236
TTL_3_4,0.798333,0.75333446,0.74166775,0.78100055,0.8070561,0.7250009,0.8358345,0.1283337,0.061666843,0.060000144,0.060000144,0.060000144,0.060000144,0.060000144,0.060000144
TTL_3_5,0.50176144,0.17253557,0.18133841,0.12165521,0.11757658,0.158451,0.12940173,0.06690156,0.04225365,0.003521138,0.02112683,0.02112683,0.003521138,0.003521138,0.003521138
TTL_3_6,0.45078832,0.08267733,0.092519864,0.106004198,0.113779758,0.06299225,0.047244164,0.063976518,0.033464676,0.001968511,0.001968511,0.001968511,0.001968511,0.001968511,0.003937021
TTL_3_7,0.25984284,0.08858284,0.092519864,0.16043343,0.13838615,0.09055136,0.055118233,0.041338637,0.015748078,0.005905525,0.005905525,0.005905525,0.005905525,0.005905525,0.003937017
TTL_3_8,0.37992197,0.98425215,0.9803151,0.6731634,0.693504585,0.8464567,0.930118575,0.8503944,0.433072165,0.41338733,0.4094503,0.4094503,0.4094503,0.41338733,0.41929287
TTL_3_9,0.39525765,0.98418987,0.9802373,0.7679847,0.73946047,0.8675888,0.940711765,0.8418979,0.39328189,0.41106862,0.40711606,0.40711606,0.40711606,0.41106862,0.41699752
TTL_4_5,0.30595896,0.16908264,0.17874451,0.18679592,0.2038116,0.16747233,0.106280485,0.03059591,0.028985616,0.006441245,0.006441245,0.006441245,0.006441245,0.006441245,0.006441245
TTL_4_6,0.23476744,0.08243747,0.09319019,0.06589027,0.057168602,0.078853205,0.03046606,0.010752716,0.008960606,0.003584242,0.003584242,0.003584242,0.003584242,0.003584242,0.008960606
TTL_4_7,0.23476744,0.08243747,0.09319019,0.06630844,0.06170864,0.08064533,0.03584239,0.005376353,0.005376358,0.005376358,0.003584239,0.003584239,0.003584239,0.005376358,0.008960596
TTL_4_8,0.47491136,0.39785078,0.39247447,0.577808435,0.502689,0.6236574,0.3629045,0.85483986,0.241039975,0.3207897,0.32437393,0.32437393,0.32437393,0.3207897,0.30197244
TTL_4_9,0.47661966,0.39748332,0.37769914,0.55869395,0.48765075,0.32374212,0.41187195,0.74280727,0.22122364,0.12050412,0.106115535,0.106115535,0.08812986,0.12050412,0.31474954
TTL_5_6,0.5221677,0.47454762,0.4843998,0.5811158,0.5851935,0.47454777,0.16666609,0.036124762,0.01313628,0.011494253,0.013957307,0.013957307,0.011494253,0.011494253,0.011494253
TTL_5_7,0.3958753,0.38899916,0.3889991,0.22991199,0.20253798,0.44990334,0.061395049,0.5834968,0.06385078,0.045186765,0.034381237,0.034381237,0.047151417,0.045186765,0.038310517
TTL_5_8,0.6218074,0.7013752,0.69941056,0.53294057,0.49757728,0.79076654,0.5137538,0.87229854,0.207760745,0.17780016,0.18074712,0.18074712,0.18762337,0.17780016,0.16994159
TTL_5_9,0.6224189,0.70108163,0.69419867,0.6012129,0.521272,0.6253691,0.599312475,0.84169126,0.20993169,0.048181076,0.06981338,0.06981338,0.055064082,0.048181076,0.03539834
TTL_6_7,0.39638212,0.45516035,0.4551603,0.29336798,0.22207956,0.50640357,0.095704185,0.4574218,0.088168502,0.103239946,0.10550065,0.10550065,0.105500676,0.103239946,0.027128732
TTL_6_8,0.66088694,0.7279535,0.71740335,0.5035159,0.4953523,0.79954356,0.45629023,0.8884674,0.22079789,0.21326186,0.21476905,0.21476905,0.2132619,0.21326186,0.20421891
TTL_6_9,0.6618846,0.72829765,0.71244854,0.52125674,0.48739508,0.6588635,0.613581015,0.870186,0.22641434,0.10943349,0.13056546,0.13056546,0.13056546,0.10943349,0.100376904
TTL_7_8,0.7843981,0.83672464,0.8362403,0.5573477,0.56314534,0.8914723,0.84181055,0.8929259,0.19622025,0.07364316,0.073643155,0.073643155,0.073643155,0.07364316,0.07364316
TTL_7_9,0.78592116,0.8373783,0.83543664,0.596472,0.5177179,0.82281435,0.830823815,0.86164886,0.202912145,0.0733007,0.0718444,0.0718444,0.07281527,0.0733007,0.07427158
