fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.3464286,0.3464286,0.3464286,0.3464286,0.3464286
TTL_1_3,0.3636364,0.3636364,0.3636364,0.3636364,0.3636364
TTL_1_7,0.39430884,0.39430884,0.39430884,0.39430884,0.39430884
TTL_1_8,0.65853643,0.65853643,0.65853643,0.6626015,0.6626015
TTL_2_3,0.45486122,0.45486122,0.45486122,0.45486122,0.45486122
TTL_2_7,0.39552245,0.39552245,0.39552245,0.39552245,0.39552245
TTL_2_8,0.4514926,0.4514926,0.4514926,0.4514926,0.4514926
TTL_3_7,0.08636361,0.08636361,0.08636361,0.08636361,0.08636361
TTL_3_8,0.5545453,0.5545453,0.5545453,0.5545453,0.5545453
TTL_7_8,0.37853098,0.37853098,0.37853098,0.37853098,0.358757
