fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
APFD_1_2,0.9969075,0.9969075
APFD_1_5,0.9937081999999999,0.9937081999999999
APFD_1_6,0.9846406,0.9846406
APFD_1_7,0.9870252500000001,0.9870252500000001
APFD_1_8,0.983864125,0.983864125
APFD_2_5,0.9980932,0.9980932
APFD_2_6,0.9893471,0.9893471
APFD_2_7,0.988019035,0.988019035
APFD_2_8,0.9891616,0.9891616
APFD_5_6,0.9938103,0.9938103
APFD_5_7,0.991629375,0.991629375
APFD_5_8,0.99063903,0.99063903
APFD_6_7,0.9990909,0.9990909
APFD_6_8,0.9980969,0.9980969
APFD_7_8,0.9979105,0.9979105
