fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
PTL_1_2,0.06584362,0.06584362
PTL_1_3,0.09289618,0.09289618
PTL_1_4,0.09289618,0.09289618
PTL_1_5,0.084745765,0.084745765
PTL_1_6,0.06395349,0.06395349
PTL_1_7,0.13372093,0.13372093
PTL_1_8,0.15116279,0.15116279
PTL_1_9,0.1627907,0.1627907
PTL_2_3,0.02347418,0.02347418
PTL_2_4,0.04694836,0.04694836
PTL_2_5,0.0483091775,0.0483091775
PTL_2_6,0.00990099,0.00990099
PTL_2_7,0.096534655,0.096534655
PTL_2_8,0.12376238,0.12376238
PTL_2_9,0.15099010000000002,0.15099010000000002
PTL_3_4,0.02549575,0.02549575
PTL_3_5,0.011527377,0.011527377
PTL_3_6,0.00591716,0.00591716
PTL_3_7,0.01775148,0.01775148
PTL_3_8,0.14201184,0.14201184
PTL_3_9,0.14880952,0.14880952
PTL_4_5,0.010282776,0.010282776
PTL_4_6,0.005263158,0.005263158
PTL_4_7,0.005263158,0.005263158
PTL_4_8,0.13157895,0.13157895
PTL_4_9,0.09259259,0.09259259
PTL_5_6,0.004524887,0.004524887
PTL_5_7,0.03644647,0.03644647
PTL_5_8,0.09339408,0.09339408
PTL_5_9,0.045766592,0.045766592
PTL_6_7,0.030965392,0.030965392
PTL_6_8,0.07285974,0.07285974
PTL_6_9,0.053016454,0.053016454
PTL_7_8,0.04130809,0.04130809
PTL_7_9,0.044905007,0.044905007
PTL_8_9,0.019639935,0.019639935
